Week,Site,Device,Spend,Impressions,Clicks,Sales,Partner Type,Audience,Channel
2023-01-01,Amazon,Not Specified,0.8200000000000001,2963956.0,5472,8234625.1,FEP,Not Specified,Display
2023-01-01,CBS,Not Specified,0.12,820075.0,136,8234625.1,FEP,Not Specified,Display
2023-01-01,Facebook/Instagram,android_smartphone,2806.7999999999997,2160428.0,877,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,android_tablet,28.46,21669.0,9,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,desktop,39.54,31465.0,13,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,ipad,113.67,85626.0,45,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,iphone,13522.37,10060312.0,6529,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,ipod,2.73,1794.0,0,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,Facebook/Instagram,other,7.07,5237.0,2,8234625.1,Not Specified,Demo-Only,Social
2023-01-01,NBC Sports,Not Specified,0.07,371.0,0,8234625.1,FEP,Not Specified,Display
2023-01-01,Roku,Not Specified,0.24,394512.0,110,8234625.1,FEP,Not Specified,Display
2023-01-01,The Trade Desk,Not Specified,0.06,18150.0,18,8234625.1,Programmatic,Not Specified,Display
2023-01-01,Tubi Inc,Not Specified,0.36,265697.0,72,8234625.1,FEP,Not Specified,Display
2023-01-01,YouTube,Not Specified,0.84,1163022.0,588,8234625.1,Programmatic,Not Specified,Display
2023-01-08,Facebook/Instagram,android_smartphone,5063.61,3518696.0,1722,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,android_tablet,52.93,35837.0,26,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,desktop,82.35,59358.0,28,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,ipad,201.35,138203.0,93,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,iphone,20572.41,13640042.0,9374,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,ipod,4.59,3060.0,2,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Facebook/Instagram,other,8.33,5714.0,2,10155457.8,Not Specified,Demo-Only,Social
2023-01-08,Pinterest,Unknown Device Category,42881.21,15181226.0,13462,10155457.8,Not Specified,Demo-Only,Social
2023-01-15,Amazon,Not Specified,0.61,252559.0,466,10538446.2,FEP,Not Specified,Display
2023-01-15,CBS,Not Specified,0.02,32956.0,5,10538446.2,FEP,Not Specified,Display
2023-01-15,Facebook/Instagram,android_smartphone,7596.19,4982521.0,3116,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,android_tablet,90.58,59073.0,53,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,desktop,197.88,131121.0,71,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,ipad,340.6,223061.0,139,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,iphone,25281.42,15952129.0,11120,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,ipod,8.35,5915.0,4,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Facebook/Instagram,other,9.01,5688.0,4,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,NBC Sports,Not Specified,0.1,596033.0,53,10538446.2,FEP,Not Specified,Display
2023-01-15,Pinterest,Unknown Device Category,53979.35,18665306.0,17044,10538446.2,Not Specified,Demo-Only,Social
2023-01-15,Roku,Not Specified,0.04,12667.0,4,10538446.2,FEP,Not Specified,Display
2023-01-15,The Trade Desk,Not Specified,0.14,2846826.0,6741,10538446.2,Programmatic,Not Specified,Display
2023-01-15,Tubi Inc,Not Specified,0.06,13374.0,6,10538446.2,FEP,Not Specified,Display
2023-01-15,YouTube,Not Specified,1.96,4523273.0,1399,10538446.2,Programmatic,Not Specified,Display
2023-01-22,Amazon,Not Specified,0.51,57.0,0,10241207.4,FEP,Not Specified,Display
2023-01-22,Facebook/Instagram,android_smartphone,8428.35,5204887.0,3337,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,Facebook/Instagram,android_tablet,102.31,61438.0,71,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,Facebook/Instagram,desktop,262.98,160037.0,78,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,Facebook/Instagram,ipad,376.83,230687.0,144,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,Facebook/Instagram,iphone,26451.32,15995820.0,11384,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,Facebook/Instagram,ipod,9.5,6008.0,4,10241207.4,Not Specified,Demo-Only,Social
