Week,Site,Channel,Impressions,Clicks,Spend,Sales
2023-01-01,Amazon,Display,2963956.0,5472,0.8200000000000001,8234625.1
2023-01-01,CBS,Display,820075.0,136,0.12,8234625.1
2023-01-01,NBC Sports,Display,371.0,0,0.07,8234625.1
2023-01-01,Roku,Display,394512.0,110,0.24,8234625.1
2023-01-01,The Trade Desk,Display,18150.0,18,0.06,8234625.1
2023-01-01,Tubi Inc,Display,265697.0,72,0.36,8234625.1
2023-01-01,YouTube,Display,1163022.0,588,0.84,8234625.1
2023-01-01,Facebook/Instagram,Social,12366531.0,7475,16520.64,8234625.1
2023-01-08,Facebook/Instagram,Social,17400910.0,11247,25985.57,10155457.8
2023-01-08,Pinterest,Social,15181226.0,13462,42881.21,10155457.8
2023-01-15,Amazon,Display,252559.0,466,0.61,10538446.2
2023-01-15,CBS,Display,32956.0,5,0.02,10538446.2
2023-01-15,NBC Sports,Display,596033.0,53,0.1,10538446.2
2023-01-15,Roku,Display,12667.0,4,0.04,10538446.2
2023-01-15,The Trade Desk,Display,2846826.0,6741,0.14,10538446.2
2023-01-15,Tubi Inc,Display,13374.0,6,0.06,10538446.2
2023-01-15,YouTube,Display,4523273.0,1399,1.96,10538446.2
2023-01-15,Facebook/Instagram,Social,21359508.0,14507,33524.03,10538446.2
2023-01-15,Pinterest,Social,18665306.0,17044,53979.35,10538446.2
2023-01-22,Amazon,Display,57.0,0,0.51,10241207.4
2023-01-22,NBC Sports,Display,72.0,0,0.01,10241207.4
2023-01-22,The Trade Desk,Display,2815607.0,6593,0.14,10241207.4
2023-01-22,YouTube,Display,4486070.0,1363,1.96,10241207.4
2023-01-22,Facebook/Instagram,Social,21664304.0,15020,35640.56,10241207.4
2023-01-22,Pinterest,Social,17693639.0,15507,53976.45,10241207.4
2023-01-29,Amazon,Display,3099504.0,5725,0.56,9897463.23
2023-01-29,CBS,Display,805348.0,103,0.12,9897463.23
2023-01-29,Roku,Display,436518.0,118,0.24,9897463.23
2023-01-29,The Trade Desk,Display,2719381.0,5135,0.67,9897463.23
2023-01-29,Tubi Inc,Display,310502.0,80,0.18,9897463.23
2023-01-29,YouTube,Display,4581481.0,1391,2.0,9897463.23
2023-01-29,Facebook/Instagram,Social,21643827.0,15452,35574.99,9897463.23
2023-01-29,Pinterest,Social,17427539.0,14672,54255.84,9897463.23
2023-02-05,Amazon,Display,2662437.0,4917,0.55,0.0
2023-02-05,CBS,Display,812200.0,124,0.14,0.0
2023-02-05,Roku,Display,308668.0,83,0.28,0.0
2023-02-05,The Trade Desk,Display,2904991.0,5355,0.2,0.0
2023-02-05,Tubi Inc,Display,353779.5,87,0.21,0.0
2023-02-05,YouTube,Display,4466190.0,1682,1.96,0.0
2023-02-05,Facebook/Instagram,Social,19619520.0,13554,34944.0,9856178.28
2023-02-05,Pinterest,Social,17495284.0,14596,59295.85,9856178.28
2023-02-05,TikTok,Social,5735580.0,7791,14405.63,9856178.28
2023-02-12,Amazon,Display,298349.0,551,0.37,0.0
2023-02-12,CBS,Display,82506.0,27,0.02,0.0
2023-02-12,Roku,Display,9768.0,2,0.04,0.0
2023-02-12,The Trade Desk,Display,3097507.0,5105,3.5,0.0
2023-02-12,Tubi Inc,Display,45751.5,12,0.03,0.0
2023-02-12,YouTube,Display,5138557.5,2437,3.0100000000000002,0.0
2023-02-12,Facebook/Instagram,Social,20001816.0,13881,35497.0,9778717.01
2023-02-12,Pinterest,Social,18268298.0,15074,62955.93,9778717.01
2023-02-12,TikTok,Social,24011881.0,34909,69174.66,9778717.01
2023-02-19,Amazon,Display,31.0,0,0.28,0.0
2023-02-19,The Trade Desk,Display,2936238.0,6421,4.3500000000000005,0.0
2023-02-19,YouTube,Display,4764551.5,2111,3.29,0.0
2023-02-19,Facebook/Instagram,Social,19745227.0,13876,35295.61,9071115.21
2023-02-19,Pinterest,Social,16481832.0,13120,53709.72,9071115.21
2023-02-19,TikTok,Social,23330553.0,32611,63075.67,9071115.21
2023-02-26,Amazon,Display,2982501.0,5512,0.28,0.0
2023-02-26,CBS,Display,1410724.0,283,0.12,0.0
2023-02-26,Roku,Display,411544.0,113,0.24,0.0
2023-02-26,The Trade Desk,Display,2949335.0,7000,4.42,0.0
2023-02-26,Tubi Inc,Display,304253.0,76,0.18,0.0
2023-02-26,YouTube,Display,4888697.5,2286,3.33,0.0
2023-02-26,Facebook/Instagram,Social,20003391.0,13483,35994.09,9563246.82
2023-02-26,Pinterest,Social,15573976.0,12403,51166.02,9563246.82
2023-02-26,TikTok,Social,24425118.0,37535,65196.58,9563246.82
2023-03-05,Amazon,Display,2585043.0,4777,0.28,0.0
2023-03-05,CBS,Display,1492013.0,344,0.14,0.0
2023-03-05,Roku,Display,336522.0,90,0.28,0.0
2023-03-05,The Trade Desk,Display,3055130.0,6558,4.34,0.0
2023-03-05,Tubi Inc,Display,377142.5,92,0.21,0.0
2023-03-05,YouTube,Display,5111524.0,2437,3.36,0.0
